Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2017,Montgomery,TX,Passenger,1,0,1,63,64,1.56
January 31 2024,Hardin,KY,Passenger,1,0,1,54,55,1.82
April 30 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
April 30 2019,Kitsap,WA,Truck,1,0,1,53868,53869,0.00
March 31 2023,Asotin,WA,Truck,0,0,0,6628,6628,0.00
November 30 2023,Fairfax,VA,Passenger,6,4,10,544,554,1.81
May 31 2017,Travis,TX,Passenger,1,1,2,197,199,1.01
November 30 2022,Lane,OR,Passenger,0,2,2,90,92,2.17
April 30 2021,Clark,WA,Passenger,2681,1329,4010,321462,325472,1.23
June 30 2022,District of Columbia,DC,Passenger,2,0,2,174,176,1.14
May 31 2020,Allegheny,PA,Passenger,2,0,2,82,84,2.38
January 31 2024,Columbia,WA,Truck,0,0,0,1546,1546,0.00
August 31 2022,New London,CT,Passenger,3,3,6,187,193,3.11
August 31 2023,Yellowstone,MT,Passenger,0,1,1,13,14,7.14
May 31 2020,Los Angeles,CA,Passenger,6,12,18,1037,1055,1.71
January 31 2024,Chesapeake,VA,Passenger,2,1,3,266,269,1.12
September 30 2020,Pima,AZ,Passenger,3,1,4,355,359,1.11
December 31 2022,Essex,MA,Passenger,1,0,1,16,17,5.88
March 31 2019,Ferry,WA,Truck,0,0,0,3594,3594,0.00
January 31 2023,Travis,TX,Passenger,3,1,4,97,101,3.96
July 31 2022,Orange,NC,Passenger,0,1,1,9,10,10.00
January 31 2021,Columbia,WA,Truck,0,0,0,1546,1546,0.00
December 31 2020,Solano,CA,Passenger,1,0,1,208,209,0.48
February 28 2017,Maricopa,AZ,Passenger,3,1,4,1898,1902,0.21
April 30 2017,Norfolk,VA,Passenger,1,1,2,303,305,0.66
December 31 2022,Chesterfield,VA,Passenger,1,0,1,38,39,2.56
February 29 2020,Nueces,TX,Passenger,1,0,1,83,84,1.19
December 31 2017,Skagit,WA,Truck,1,0,1,31723,31724,0.00
March 31 2019,Franklin,WA,Truck,0,0,0,19130,19130,0.00
July 31 2021,El Paso,TX,Passenger,3,0,3,391,394,0.76
December 31 2020,Polk,FL,Passenger,1,0,1,68,69,1.45
